FIPS,County,State,pop_13,pop_14,pop_15,pop_17,pop_16,pop_18
1001,Autauga County, Alabama,54713,54876,54838,55242,55443,55601
1003,Baldwin County, Alabama,194886,199189,202995,207712,212619,218022
1005,Barbour County, Alabama,26944,26758,26294,25819,25158,24881
1007,Bibb County, Alabama,22516,22541,22562,22576,22555,22400
1009,Blount County, Alabama,57611,57521,57522,57517,57827,57840
1011,Bullock County, Alabama,10551,10665,10400,10381,10176,10138
1013,Butler County, Alabama,20374,20343,20176,20029,19898,19680
1015,Calhoun County, Alabama,116541,115995,115536,115018,114664,114277
1017,Chambers County, Alabama,34143,33980,34007,33771,33758,33615
1019,Cherokee County, Alabama,26025,25902,25739,25776,25815,26032
1021,Chilton County, Alabama,43634,43769,43717,43896,44117,44153
1023,Choctaw County, Alabama,13396,13317,13233,13049,12935,12841
1025,Clarke County, Alabama,25122,24865,24703,24349,24097,23920
1027,Clay County, Alabama,13404,13440,13413,13393,13367,13275
1029,Cleburne County, Alabama,14976,15025,14917,14853,14906,14987
1031,Coffee County, Alabama,50677,50655,50952,51145,51777,51909
1033,Colbert County, Alabama,54533,54468,54370,54367,54509,54762
1035,Conecuh County, Alabama,12911,12679,12680,12501,12435,12277
1037,Coosa County, Alabama,11256,11038,10938,10826,10757,10715
1039,Covington County, Alabama,37812,37756,37551,37382,37078,36986
1041,Crenshaw County, Alabama,13854,13859,13857,13922,13861,13824
1043,Cullman County, Alabama,80688,81067,81764,82456,82836,83442
1045,Dale County, Alabama,49772,49417,49349,49301,49254,48956
1047,Dallas County, Alabama,41983,41562,40948,40092,39235,38310
1049,DeKalb County, Alabama,70911,70999,71112,71101,71404,71385
1051,Elmore County, Alabama,80569,80568,80924,81263,81416,81887
1053,Escambia County, Alabama,37763,37738,37665,37488,36999,36748
1055,Etowah County, Alabama,103883,103407,103003,102849,102937,102501
1057,Fayette County, Alabama,16819,16768,16693,16555,16474,16433
1059,Franklin County, Alabama,31552,31561,31541,31654,31590,31363
1061,Geneva County, Alabama,26682,26597,26636,26498,26410,26314
1063,Greene County, Alabama,8749,8585,8509,8483,8318,8233
1065,Hale County, Alabama,15247,15047,15018,14835,14809,14726
1067,Henry County, Alabama,17132,17082,17106,17083,17140,17209
1069,Houston County, Alabama,103638,104156,104268,104239,104373,104722
1071,Jackson County, Alabama,52958,52562,52218,52048,51907,51736
1073,Jefferson County, Alabama,659196,659918,660370,660326,659546,659300
1075,Lamar County, Alabama,14210,14067,13925,13927,13902,13844
1077,Lauderdale County, Alabama,92706,93013,92477,92457,92591,92387
1079,Lawrence County, Alabama,33577,33448,33138,33233,33077,32957
1081,Lee County, Alabama,151831,154545,157009,159297,161641,163941
1083,Limestone County, Alabama,88910,90596,91571,92841,94076,96174
1085,Lowndes County, Alabama,10665,10498,10353,10253,10104,9974
1087,Macon County, Alabama,20026,19648,19306,19064,18811,18439
1089,Madison County, Alabama,346633,349807,352989,356821,361665,366519
1091,Marengo County, Alabama,20114,19980,19760,19516,19366,19066
1093,Marion County, Alabama,30228,30202,30123,29964,29771,29763
1095,Marshall County, Alabama,94370,94277,94606,95123,95609,96109
1097,Mobile County, Alabama,414210,414590,414935,415499,414515,413757
1099,Monroe County, Alabama,22171,21927,21717,21545,21302,21067
1101,Montgomery County, Alabama,228173,227546,227244,227072,227079,225763
1103,Morgan County, Alabama,119574,119458,119281,118970,118811,119089
1105,Perry County, Alabama,10005,9804,9638,9528,9319,9140
1107,Pickens County, Alabama,19305,20283,20776,20309,20182,19938
1109,Pike County, Alabama,33713,33197,33522,33521,33435,33338
1111,Randolph County, Alabama,22548,22355,22598,22508,22683,22725
